id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda,betweenness_sube,cambio_sube_vs_atraccion
50,Agüero,D,2.0,0.18386108273748725,0.04691618344754876,0.04438123999847725,40,20.0,9.0,10.0,80.0,45.0,46.0,50.0,41.0,22.0,62.0,29.4,47.6,-34.59162784,-58.40716132,Agüero (D),aguero,125052,148,4804.176848874598,1494099,311,17,19,88,124,0.17977528089887662,0.12642380650980806,0.15484103470209398,-0.053351474389068565,0.028417228192285926,0.18634163753372598,0.031500602831632
10,Loria,A,2.0,0.16547497446373852,0.0489010989010989,0.03861757507359138,41,20.0,9.0,13.0,76.0,36.0,55.0,51.0,40.0,30.0,54.0,30.0,46.8,-34.61078169,-58.41518571,Loria (A),loria,81420,104,4540.7170329670325,1652821,364,19,11,11,41,0.1617977528089889,0.1232665324307517,0.1006447508926865,-0.038531220378237196,-0.022621781538065197,0.15066087157359875,0.050016120680912254
8,Alberti,A,2.0,0.1023152877085461,0.05091533180778032,0.06211023085075036,41,20.0,9.0,44.0,47.0,16.0,75.0,40.0,51.0,30.0,54.0,30.0,47.2,-34.60983358,-58.40120753,Alberti (A),alberti,83110,115,2781.7906336088154,1009790,363,13,16,24,53,0.1000416146483561,0.07947703209993776,0.07036709467618243,-0.02056458254841835,-0.009109937423755321,0.13356587194104122,0.06319877726485879
41,Independencia,C,3.0,0.07533197139938713,0.048501362397820165,0.1800603313139387,42,6.0,72.0,55.0,36.0,39.0,52.0,13.0,78.0,38.0,47.0,30.2,57.0,-34.6181256,-58.38017361,Independencia (C),independencia,57252,94,3419.027918781726,1347097,364,21,1,26,48,0.07365792759051183,0.04521438418835536,0.03927393043065386,-0.02844354340215647,-0.005940453757701504,0.1411556591393447,0.10188172870869083
5,Sáenz Peña,A,2.0,0.09146237657473609,0.0483695652173913,0.1458574874732686,41,20.0,9.0,46.0,45.0,41.0,50.0,17.0,74.0,30.0,54.0,30.8,46.4,-34.60941259,-58.38677719,Sáenz Peña (A),saenz pena,59490,94,4316.142857142857,1571076,364,14,8,10,32,0.08942987931751968,0.058523913738073606,0.05924135917712164,-0.030905965579446075,0.0007174454390480312,0.1152042455355737,0.055962886358452056
27,Medrano,B,2.0,0.16547497446373852,0.04625779625779626,0.030809584970397066,40,20.0,9.0,13.0,76.0,46.0,45.0,54.0,37.0,22.0,62.0,31.0,45.8,-34.6031649,-58.42096247,Medrano (B),medrano,84548,106,8978.29945054945,3268101,364,16,3,17,36,0.1617977528089889,0.0789356127498452,0.0766548866256627,-0.08286214005914369,-0.0022807261241825083,0.1824824414979056,0.10582755487224291
64,Entre Ríos,E,2.0,0.11401940755873341,0.04936217415418746,0.1027369253911138,43,20.0,9.0,34.0,57.0,30.0,61.0,27.0,64.0,45.0,38.0,31.2,45.8,-34.62271967,-58.3915117,Entre Ríos (E),entre rios,71033,96,2532.2445054945056,921737,364,24,6,12,42,0.11148564294631708,0.05939584323316138,0.049601987209754214,-0.05208979971315569,-0.009793856023407169,0.05042360870523763,0.0008216214954834128
37,Lavalle,C,2.0,0.0427732379979571,0.047875201721355565,0.16849625291126466,38,20.0,9.0,69.0,22.0,42.0,49.0,14.0,77.0,11.0,74.0,31.2,46.2,-34.60176992,-58.37815578,Lavalle (C),lavalle,33853,63,3802.2005494505493,1384001,364,17,17,75,109,0.04182272159800251,0.020364251634940257,0.024232027599861528,-0.021458469963062252,0.0038677759649212717,0.05876927760805434,0.03453725000819281
65,Pichincha,E,2.0,0.11784984678243106,0.04988789237668161,0.07987096753302066,44,20.0,9.0,29.0,62.0,27.0,64.0,31.0,60.0,54.0,32.0,32.2,45.4,-34.62310987,-58.39706807,Pichincha (E),pichincha,64642,85,1551.6263736263736,564792,364,18,8,13,39,0.11523096129837695,0.06662830530492256,0.05297945934882424,-0.0486026559934544,-0.013648845956098318,0.05249283487134264,-0.00048662447748160087
7,Pasco,A,2.0,0.09478209056860738,0.04928017718715393,0.07671837769040042,43,20.0,9.0,45.0,46.0,31.0,60.0,32.0,59.0,45.0,38.0,34.6,42.4,-34.60964596,-58.39842699,Pasco (A),pasco,81685,117,1628.1349862258953,591013,363,24,14,22,60,0.09267582188930495,0.06585318859270885,0.06016371870319265,-0.026822633296596107,-0.005689469889516199,0.13233546449980582,0.07217174579661317
