id,estacion,linea,grado,betweenness,closeness,autovector,excentricidad,r_grado,r_grado_periferia,r_betweenness,r_betweenness_periferia,r_closeness,r_closeness_periferia,r_autovector,r_autovector_periferia,r_excentricidad,r_excentricidad_periferia,score_central,score_periferico,lat,long,clave_estacion,nombre_norm,demanda_potencial,radios_cubiertos,pasajeros_diarios_promedio,pasajeros_totales_periodo,dias_observados,educacion,salud,comercio,atraccion_total,betweenness_uniforme,betweenness_demanda,betweenness_atraccion,cambio_demanda_vs_uniforme,cambio_atraccion_vs_demanda
42,San Juan,C,2.0,0.022727272727272728,0.044829342842587876,0.10644111203738525,42,20.0,9.0,72.0,12.0,52.0,38.0,24.0,66.0,44.0,42.0,42.4,33.4,-34.62191673,-58.37992118,San Juan (C),san juan,57061,89,2625.7994505494507,955791,364,17,1,18,36,0.022216547497446382,0.013234722723368265,0.01102897288674541,-0.008981824774078117,-0.002205749836622856
68,Boedo,E,2.0,0.12852664576802508,0.04428787116255662,0.031613611866360795,46,20.0,9.0,20.0,67.0,55.0,35.0,53.0,37.0,65.0,23.0,42.6,34.2,-34.62536611,-58.41553282,Boedo (E),boedo,55081,67,3177.552197802198,1156629,364,6,7,20,33,0.12563840653728303,0.059218461467911473,0.04005677399789984,-0.06641994506937156,-0.01916168747001163
19,Leandro N. Alem,B,2.0,0.030825496342737724,0.04602510460251046,0.08491918719265118,43,20.0,9.0,70.0,20.0,49.0,41.0,29.0,61.0,49.0,33.0,43.4,32.8,-34.60298949,-58.36992985,Leandro N. Alem (B),leandro n alem,17820,34,10306.417582417582,3751536,364,15,5,14,34,0.030132788559754858,0.012277312415577904,0.015530163809931606,-0.017855476144176954,0.003252851394353702
52,Scalabrini Ortiz,D,2.0,0.14811912225705332,0.040987424312994875,0.020241646928812633,44,20.0,9.0,16.0,71.0,64.0,26.0,61.0,29.0,58.0,28.0,43.8,32.6,-34.58515594,-58.41595542,Scalabrini Ortiz (D),scalabrini ortiz,95064,123,5049.890151515152,1333171,264,17,14,86,117,0.14479060265577143,0.08687640840214331,0.11562940167432191,-0.05791419425362812,0.028752993272178604
87,Caseros,H,2.0,0.04493207941483804,0.045881126173096975,0.024140012101739397,41,20.0,9.0,63.0,23.0,50.0,40.0,58.0,32.0,32.0,47.0,44.6,30.2,-34.63575018,-58.39892758,Caseros (H),caseros,33420,39,4091.0054945054944,1489126,364,14,0,3,17,0.043922369765066444,0.020427775107711793,0.015980209214359303,-0.02349459465735465,-0.00444756589335249
12,Río de Janeiro,A,2.0,0.12852664576802508,0.0422873618452667,0.01758874911638085,45,20.0,9.0,20.0,67.0,59.0,31.0,62.0,28.0,63.0,26.0,44.8,32.2,-34.61520561,-58.42950032,Río de Janeiro (A),rio de janeiro,81716,99,5864.340659340659,2134620,364,17,10,15,42,0.12563840653728314,0.08793450471578904,0.0714541263275082,-0.03770390182149411,-0.016480378388280842
35,Retiro,C,2.0,0.002220480668756531,0.041237113402061855,0.055446887864153006,41,20.0,9.0,81.0,9.0,61.0,29.0,44.0,46.0,32.0,47.0,47.6,28.0,-34.59119381,-58.37401822,Retiro (C),retiro,27647,41,17899.78426395939,7052515,364,6,2,7,15,0.0021705822267620023,0.000942824207320587,0.0014368894884115634,-0.0012277580194414153,0.0004940652810909764
53,Plaza Italia,D,2.0,0.12852664576802508,0.03831084022638224,0.013649686819406584,46,20.0,9.0,20.0,67.0,68.0,22.0,66.0,24.0,65.0,23.0,47.8,29.0,-34.58141119,-58.42119601,Plaza Italia (D),plaza italia,71961,92,6464.003095975232,2087873,323,18,10,79,107,0.12563840653728314,0.07402664155168401,0.10090090692289957,-0.051611764985599135,0.026874265371215567
29,Malabia,B,2.0,0.10841170323928946,0.039783001808318265,0.01396402664817542,44,20.0,9.0,35.0,52.0,65.0,25.0,65.0,25.0,58.0,28.0,48.6,27.8,-34.59896736,-58.4397715,Malabia (B),malabia,70473,97,9283.355371900827,3369858,363,20,11,44,75,0.10597548518896847,0.03753323719470613,0.038438634225555934,-0.06844224799426235,0.0009053970308498041
75,Retiro,E,2.0,0.0023510971786833857,0.04282238442822384,0.0625182704309329,43,20.0,9.0,80.0,10.0,57.0,33.0,39.0,51.0,49.0,33.0,49.0,27.2,-34.59211436,-58.37584984,Retiro (E),retiro,36246,51,2981.6116751269037,1174755,364,7,1,13,21,0.0022982635342185904,0.000702259271650666,0.001073121382054525,-0.0015960042625679243,0.0003708621104038589
69,Avenida La Plata,E,2.0,0.10841170323928946,0.04110228865016347,0.021263040314472206,48,20.0,9.0,35.0,52.0,63.0,27.0,59.0,31.0,69.0,19.0,49.2,27.6,-34.62701547,-58.42678902,Avenida La Plata (E),avenida la plata,56641,69,3374.717032967033,1228397,364,11,5,19,35,0.10597548518896843,0.04596866580666316,0.029416036777431313,-0.060006819382305274,-0.016552629029231845
13,Acoyte,A,2.0,0.10841170323928946,0.039373601789709174,0.011831553565372344,47,20.0,9.0,35.0,52.0,66.0,24.0,68.0,22.0,68.0,22.0,51.4,25.8,-34.61827997,-58.43642853,Acoyte (A),acoyte,94821,111,8047.755494505494,2929383,364,17,11,65,93,0.10597548518896847,0.06765025688257162,0.05042206138676868,-0.038325228306396855,-0.017228195495802942
88,Parque Patricios,H,2.0,0.022727272727272728,0.0421455938697318,0.01427347650062403,43,20.0,9.0,72.0,12.0,60.0,30.0,63.0,27.0,49.0,33.0,52.8,22.2,-34.63840599,-58.40579483,Parque Patricios (H),parque patricios,35434,41,6172.780219780219,2246892,364,12,3,9,24,0.022216547497446375,0.00921377534747335,0.007192898483349248,-0.013002772149973026,-0.002020876864124101
54,Palermo,D,2.0,0.10841170323928946,0.03590371277029784,0.009179752576513047,48,20.0,9.0,35.0,52.0,72.0,18.0,71.0,19.0,69.0,19.0,53.4,23.4,-34.57842202,-58.42571144,Palermo (D),palermo,52661,69,9413.406779661016,2776955,295,13,15,84,112,0.1059754851889685,0.0652358074344694,0.08720469526712193,-0.040739677754499104,0.021968887832652537
